"country","year","pop","continent","lifeExp","gdpPercap"
"Australia",1952,8691212,"Oceania",69.12,10039.59564
"Australia",1957,9712569,"Oceania",70.33,10949.64959
"Australia",1962,10794968,"Oceania",70.93,12217.22686
"Australia",1967,11872264,"Oceania",71.1,14526.12465
"Australia",1972,13177000,"Oceania",71.93,16788.62948
"Australia",1977,14074100,"Oceania",73.49,18334.19751
"Australia",1982,15184200,"Oceania",74.74,19477.00928
"Australia",1987,16257249,"Oceania",76.32,21888.88903
"Australia",1992,17481977,"Oceania",77.56,23424.76683
"Australia",1997,18565243,"Oceania",78.83,26997.93657
"Australia",2002,19546792,"Oceania",80.37,30687.75473
"Australia",2007,20434176,"Oceania",81.235,34435.36744
"New Zealand",1952,1994794,"Oceania",69.39,10556.57566
"New Zealand",1957,2229407,"Oceania",70.26,12247.39532
"New Zealand",1962,2488550,"Oceania",71.24,13175.678
"New Zealand",1967,2728150,"Oceania",71.52,14463.91893
"New Zealand",1972,2929100,"Oceania",71.89,16046.03728
"New Zealand",1977,3164900,"Oceania",72.22,16233.7177
"New Zealand",1982,3210650,"Oceania",73.84,17632.4104
"New Zealand",1987,3317166,"Oceania",74.32,19007.19129
"New Zealand",1992,3437674,"Oceania",76.33,18363.32494
"New Zealand",1997,3676187,"Oceania",77.55,21050.41377
"New Zealand",2002,3908037,"Oceania",79.11,23189.80135
"New Zealand",2007,4115771,"Oceania",80.204,25185.00911
